DOCUMENT_INDEX,DOCUMENT,TRUE_SENTIMENT
3396,The head of the U . S . Federal Communications Commission unveiled plans on Tuesday to repeal landmark 2015 rules that prohibited internet service providers from impeding consumer access to web content in a move that promises to recast the digital landscape .  FCC chief Ajit Pai   a Republican appointed by President Donald Trump in January    said the commission will vote at a Dec . 14 meeting on  his  plan to rescind the so - called net neutrality rules championed by Democratic former President Barack Obama that treated internet service providers like public utilities . The rules barred broadband providers from blocking or slowing down access to content or charging consumers more for certain content . They were intended to ensure a free and open internet   give consumers equal access to web content and prevent broadband service providers from favoring their own content . The action marks a victory for big internet service providers such as AT & T Inc   Comcast Corp and Verizon Communications Inc that opposed the rules and gives them sweeping powers to decide what web content consumers can get and at what price . It represents a setback for Google parent Alphabet Inc and Facebook Inc   which had urged Pai not to rescind the rules . Netflix said Tuesday it opposed the measure to “ roll back these core protections .” With three Republican and two Democratic commissioners   the move is all but certain to be approved . Trump   a Republican   expressed his opposition to net neutrality in 2014 before the regulations were even implemented   calling it a “ power grab ” by Obama . The White House did not immediately comment Tuesday .  Pai  said  his  proposal would prevent state and local governments from creating their own net neutrality rules because internet service is “ inherently an interstate service .” The preemption is most likely to handcuff Democratic - governed states and localities that could have considered their own plans to protect consumers ’ equal access to internet content . “ The FCC will no longer be in the business of micromanaging business models and preemptively prohibiting services and applications and products that could be pro - competitive  ”  Pai  said in an interview   adding that the Obama administration had sought to pick winners and losers and exercised “ heavy - handed ” regulation of the internet . “ We should simply set rules of the road that let companies of all kinds in every sector compete and let consumers decide who wins and loses  ”  Pai  added . Tom Wheeler   who headed the FCC under Obama and advocated for the net neutrality rules   called the planned repeal “ a shameful sham and sellout . Even for this FCC and its leadership   this proposal raises hypocrisy to new heights .” AT & T   Comcast and Verizon have said that repealing the rules could lead to billions of dollars in additional broadband investment and eliminate the possibility that a future presidential administration could regulate internet pricing . Comcast said no matter what the FCC decided it would “ not block   throttle   or discriminate against lawful content .” ‘ HEAVY COSTS ’ Verizon said it believed the FCC “ will reinstate a framework that protects consumers ’ access to the open internet   without forcing them to bear the heavy costs from unnecessary regulation .” Ajit Pai   Chairman of the Federal Communications Commission   testifies before a Senate Appropriations Financial Services and General Government Subcommittee on Capitol Hill in Washington   U . S .  June 20   2017 . REUTERS / Aaron P . Bernstein The Internet Association   representing major technology firms including Alphabet and Facebook   said Pai ’ s proposal “ represents the end of net neutrality as we know it and defies the will of millions of Americans .” “ This proposal undoes nearly two decades of bipartisan agreement on baseline net neutrality principles that protect Americans ’ ability to access the entire internet  ” it said . Pai ’ s proposal would require internet service providers to disclose whether they allow blocking or slowing down of consumer web access or permit so - called internet fast lanes to facilitate a practice called paid prioritization of charging for certain content . Such disclosure will make it easier for another agency   the Federal Trade Commission   to act against internet service providers that fail to disclose such conduct to consumers   Pai said . The FTC could seek to bar practices that it deemed “ anticompetitive ” or violated antitrust rules . The Federal Communications Commission ( FCC ) logo is seen before the FCC Net Neutrality hearing in Washington February 26   2015 . REUTERS / Yuri Gripas The FCC received more than 22 million comments . New York Attorney General Eric Schneiderman disclosed Tuesday he has been investigating for more than six months in a bid to learn who was behind the filing of false comments . A U . S . appeals court last year upheld the legality of the net neutrality regulations   which were challenged in a lawsuit led by telecommunications industry trade association US Telecom . The group praised Pai ’ s decision to remove “ antiquated   restrictive regulations ” to “ pave the way for broadband network investment   expansion and upgrades .” The FCC ’ s repeal is certain to draw a legal challenge from advocates of net neutrality . Nancy Pelosi   the top U . S . House of Representatives Democrat   said the FCC move would hurt consumers and chill competition   saying the agency “ has launched an all - out assault on the entrepreneurship   innovation and competition at the heart of the internet .” The planned repeal represents the latest example of a legacy achievement of Obama being erased since Trump took office in January . Trump has abandoned international trade deals   the landmark Paris climate accord and environmental protections   taken aim at the Iran nuclear accord and closer relations with Cuba   and sought repeal Obama ’ s signature healthcare law . Pai   who has moved quickly to undo numerous regulatory actions since becoming FCC chairman   is pushing a broad deregulatory agenda . Pai said he had not shared his plans on the rollback with the White House in advance or been directed to undo net neutrality by White House officials . The FCC under Obama regulated internet service providers like public utilities under a section of federal law that gave the agency sweeping oversight over the conduct of these companies . Language in the new proposal would give the FCC significantly less authority to oversee the web . The FCC granted initial approval to Pai ’ s plan in May   but had left open many key questions including whether to retain any legal requirements limiting internet providers conduct . His plan would eliminate the “ internet conduct standard  ” which gave the FCC far - reaching discretion to prohibit improper internet service provider practices .,Neutral
3397,Transcript for Puerto Rico still in power crisis A troubling new setback for Puerto Rico tonight a major power failure almost the entire islands . Now back in the dark nearly three to half million American citizens live there and tonight the Texas couple who saw our reporting . And what they ' ve now done . Tonight the forties in Puerto Rico have confirmed more than 80 % of the island . He ' s again in the door after that major power failure it ' s been nearly two months now since the hurricane hit . Our visit two weeks in president trump was about to land there . And what we found just fifteen minutes from the airport when it products . We heard apartment buildings in San Juan were still without power we dealt winning water . This deer wolves dark hallways to put up this fits best his Delgado lives in New York City but she was there are taking care for parents . President trumpet just tweeted all buildings now inspected we have heard that inspectors . Have been visiting some of these buildings . All over Puerto Rico I do you see any inspectors . Inside her parents tiny apartment we saw the windows blown out by the hurricane . In the bedroom her parents Elmer and glorious indeed if medication . This is the first medicine this is . Down the whole way residents carrying flashlights and stepped over a doorway won ' t be invited hurricane . It tonight with most of Puerto Rico again in the dark one in ten on the island still have no running water . And a couple from El Paso   Texas seeing  Liz Beth  on the news calling and telling  her  they would pay to fly  her  and  her  family . Back to the US for help . Our camera there as  she  packed all changes heck . But I know we gonna be much better tearful  she  tells us  she  can now get  her  parents ' medical help . For building had just got the power back in our before  she  started packing while back in New York Angel Gomez and his wife patsy were both waiting for Lisbon . When I saw the months immediately broke my heart I mean here I really proud aggressively against them right here in the year to eight weeks . And me and and then let me . Back in Puerto Rico that new headline another major power failure . And we remember with Liz Smith told us the promise as she was packing can come back and help all things . And about that power failure tonight that small Montana company involved in the power restoration tells ABC news that quote . None of the issues reported today with the outage had anything to do with the repairs white fish energy performed . We ' ll stay on a . This transcript has been automatically generated and may not be 100 % accurate .,Positive
3398,"Rekita Lee  got the surprise of a lifetime when  her  son   Tre ’ Vaughn Lee   a marine   surprised  her  when he came home from his deployment to Japan .  She  hadn ’ t seen him since August 2016 and wasn ’ t expecting to see him for the holidays   after a previously planned trip to visit him overseas in October didn ’ t pan out . "" Tre ’ Vaughn has always been my rock so it was just very   very   very emotional  "" the shocked mom told ABC News about the moment she laid eyes on him at her parents ’ home in Jacksonville   Florida . "" I literally thought I was going to have a heart attack . I couldn ’ t breathe . I couldn ’ t believe he ’ s here .""  Rekita Lee  To really cover  his  tracks   Tre ’ Vaughn Lee had made up a story that he was being sent on an important training missing to a new location that would help advance his Marine Corps career . He told his worried mom he wouldn ’ t have time for many phone calls while in this new location due to his rigorous schedule . "" He didn ’ t want to tell me many details because he didn ’ t want me to be nervous  "" she explained . Not even his grandparents knew he was coming home until he rang their doorbell before his mom arrived . “ Her reaction was so much more than I thought  ” said the proud Tre ’ Vaughn Lee . “ I expected crying   but I didn ’ t expect the big scream .” Courtesy Rekita Lee His mom is over the moon to have him home for Thanksgiving and through December 4 . "" I just really   really needed that . It ’ s been rough  "" she said . "" Holiday time   I never do good around holiday time because I think it should be a happy time . I don ’ t complain too much because I am thankful for a lot   but I ’ ve also had a lot of roadblocks in my life .""  Courtesy Rekita Lee  "" He ’ s such an awesome kid  "" she added . "" I could not be more proud of  him  .""",Positive
3399,A federal judge in Chicago says the Roman Catholic Archdiocese of Chicago must pay $ 700   000 to a former employee who said she was fired for complaining another employee was viewing pornography on a church computer . The Chicago Daily Law Bulletin reported Tuesday that Judge Rebecca Pallmeyer ordered that  Lynn Sanchez  be paid $ 200   000 in compensatory damages and $ 500   000 in punitive damages following a jury verdict in Sanchez ' s favor . A lawyer for the archdiocese says it will appeal .  Sanchez  worked as a parish assistant in 2014 .  She  says archdiocese records wrongly indicated the tech - support worker was looking at women in swimsuits . Among  her  allegations was that the archdiocese made it harder for  her  to seek tech help because  she  complained .  She  said  her  treatment violated the Civil Rights Act of 1964 .,Neutral
3400,The U . S . Justice Department will extend greater leniency to companies that voluntarily alert authorities when they learn employees have paid bribes to foreign officials   Deputy Attorney General Rod Rosenstein said on Wednesday . FILE PHOTO : The exterior of the U . S . Department of Justice headquarters building in Washington   DC   U . S . on July 14   2009 . REUTERS / Jonathan Ernst / File Photo The new guidelines will allow most companies to avoid prosecution altogether if they fully disclose foreign bribery   cooperate in the investigation and take steps to avoid future misconduct    Rosenstein  said at a Maryland legal conference . This will prompt greater corporate cooperation with authorities    he  said . “ We want corporate officers and board members to better understand the costs and benefits of cooperation .” The changes come at a time when U . S . Attorney General Jeff Sessions has asked prosecutors to take a tougher line against criminals   particularly in drug cases . The guidelines expand a pilot program   launched in 2016 by the Obama administration   to encourage more companies to come forward when they discover foreign bribery   in exchange for lighter penalties . The U . S . Foreign Corrupt Practices Act makes it a crime for companies to bribe overseas officials to win business . While the previous program allowed for no prosecution   the new rules offer the “ presumption ” that charges will be dropped if companies come forward and fully cooperate .  Rosenstein  said that because corporate crimes are ultimately committed by people   not firms   companies should not be prosecuted by the same standard . “ It makes sense to treat corporations differently than individuals  ”  he  said . In cases when the misconduct is so severe that the Justice Department cannot drop charges   the guidelines will still allow companies that come forward to get a 50 percent reduction of the lowest level of penalty . But the requirements that companies must meet for prosecutors to drop charges will be “ rigorous ” and give authorities more ammunition to pursue individual executives involved in the crimes   senior Justice Department officials told reporters on a conference call on Tuesday . “ I don ’ t think it ’ s accurate at all to portray or understand this policy as giving a pass to corporate crime  ” a U . S . Justice Department official said .,Neutral
3401,-LRB- Vatican Radio -RRB- Pope Francis has called on the international community not to forget South Sudan and in particular the serious humanitarian emergency unfolding there . ,Neutral
3402,"-LRB- Vatican Radio -RRB- Pope Francis has sent a Message to the Grand Chancellor of the Pontifical Oriental Institute , Cardinal Leonardo Sandri , who is also the Prefect of the Congregation for Oriental Churches . ",Positive
3403,-LRB- VATICAN CITY -RRB- -- Pope Francis will wade into the religious and political minefield of Myanmar ` s crackdown on Rohingya Muslims and the effects of their exodus to Bangladesh when he visits both countries next month . ,Neutral
3404,"God is the patient and merciful artisan of our priestly formation and , as is written in the Ratio , this work lasts a lifetime ,"" Francis explained . ",Positive
3405,-LRB- Vatican Radio -RRB- Pope Francis on Wednesday appealed for prayers for the victims of Hurricane Maria in the Caribbean and Puerto Rico .,Positive
3406,-LRB- Vatican Radio -RRB- Pope Francis said Mass in the chapel of the Casa Santa Marta on Thursday morning . ,Neutral
3407,"Democratic Rep. Tim Ryan Tuesday  said that  he  thinks  his  party needs ""new  young leaders"" if it expects to make up for the losses it's had over the last eight or 10 years  and that  he  still wants to be part of that transition.",Positive
3408,"-LRB- Vatican Radio -RRB- Pope Francis has sent a Message to Cardinal Thomas Collins , Archbishop of Toronto , which is the host city of the 2017 Invictus Games -- an initiative of Prince Harry of England , in support of combat veterans with the purpose of demonstrating soldiers ' and veterans ' indefatigable drive to overcome and the power of sport on their journey to recovery .",Neutral
3409,Cassie Cava  26   was favored to win a medal for snowboarding at the Winter Olympics in March but withdrew from the selection process over a lack of support.,Positive
3410,-LRB- Vatican Radio -RRB- Pope Francis received the participants in the General Chapter of the Order of Cistertians of the Strict Observance -- the Trappists -- which is taking place in Assisi from the 6th to the 27th of September . ,Neutral
3411,In Egypt  there's HarassMap. Co-founder Noora Finkleman and other activists initially developed the platform in order to soften the taboo of discussing sexual harassment.,Positive
3412,"Dear Pope Francis , . ",Positive
3413,Clark County Undersheriff Kevin McMahill said investigators have  to no avail  run down more than 1 000 leads seeking clues to what drove a 64-year-old wealthy retiree with a penchant for gambling to carry out the deadliest mass shooting in modern U.S. history.,Neutral
3414,If you bought a Bitcoin in early 2017  when one cost less than $900  you could have a profit of more than 1 200 percent now. But you almost certainly didn’t do that. Perhaps you dipped in a toe in November or December  as the price hit headline-grabbing records—$10 000  then $15 000  then higher. If you were very unlucky and bought at the peak of about $20 000 on Dec. 17  you’d have lost more than 40 percent of your money as of Jan. 16  when the price was $11 200. More than $2 000 of that decline came in about 24 hours  after South Korean Finance Minister Kim Dong-yeon indicated the country may crack down on cryptocurrency trading to discourage speculation. It’s not every asset that can feel like it’s in a bubble and a crash at the same time.,Negative
3415,"- On Wednesday , Pope Francis expressed his closeness to the people of Mexico after they suffered a devastating earthquake Sept. 19 , asking for the intercession of Our Lady of Guadalupe for all those who have died or lost loved ones . ",Positive
3416,"Bronke made five saves in net , while Liam Sears recorded nine saves to earn a shutout for Pope Francis . ",Neutral
3417,Ramon Paz   the spokesman for Mexico's Association of Avocado Export Packers and Producers  said almost all avocados are grown on land that was not deforested to make way for plantations.,Positive
3418,"Chief Vatican spokesman Greg Burke wrote on Twitter on Friday evening : ""Pope Francis has been informed about the Italian priest Maurizio Pallu kidnapped in Nigeria and he is praying for him .""",Neutral
3419,"-LRB- Vatican Radio -RRB- Pope Francis gave an important address on the liturgical reform on Thursday , speaking to participants of the 68th Italian National Liturgical Week . ",Neutral
3420,-LRB- Vatican Radio -RRB- Pope Francis on Sunday appealed for an end to the violent persecution of the minority Rohingya population in Burma . ,Positive
3421,"Francis has also tried , unsuccessfully , to foster dialogue between the government and the opposition in Venezuela , Berry said . ",Positive
3422,"-LRB- Vatican Radio -RRB- His now traditional inflight press conference was cut short by turbulence , but Pope Francis managed to answer numerous questions on current issues , including climate change , immigration , and the ongoing crisis in Venezuela . ",Positive
3423,The tokens investors get when they buy a cryptocurrency  like Bitcoin  can be used to buy into blockchain startups (businesses that use the same online ledger as cryptocurrencies). When blockchain startups issue shares in their businesses using cryptocurrency  it’s called an initial coin offering. For investors  this is like any other equity investment.,Negative
3424,Multiple women have accused  Harvey Weinstein  of sexual assault in a new report from The New Yorker magazine.,Neutral
3425,Langworthy  like many Republican leaders  was hoping  wealthy business turnaround expert Harry Wilson  would run against Cuomo. But The News reported late Sunday night that  Wilson  has decided not to get in the race because of family considerations.,Positive
3426,Francis has indicated that migration should be a major Vatican focus in the run-up to the 2018 UN general assembly . ,Positive
3427,Paul Manafort  Rick Gates Back In Court For Bail Negotiations,Neutral
3428,Italian former leftist guerrilla Cesare Battisti  leaves the headquarters of Federal Police in Sao Paulo March 13  2015. REUTERS/Nacho Doce,Positive
3429,For 17 years   Chalfonte LeNee Queen  suffered periodic episodes of violent retching and abdominal pain that would knock  her  off  her  feet for days  sometimes leaving  her  writhing on the floor in pain.,Positive
3430,-- Many of my stadium visits have dovetailed with fruitful reporting trips. I watched the Reds play in Cincinnati last fall after spending an afternoon with  Trump  supporters drinking $1 beers in Middletown  Ohio. Several independent voters told me at PNC Park in Pittsburgh last September that they voted for Bill Clinton both times  but they couldn’t get behind Hillary Clinton. On election night  I flashed back to both of those experiences as I set out to explain what happened.,Neutral
3431,The decision by Air Force Col. Vance Spath  who voiced exasperation at what he characterized as repeated defiance of his authority by defense attorneys  is a striking illustration of the deep-rooted problems plaguing the judicial process set up in the wake of the Sept. 11  2001  attacks.,Neutral
3432,Former gridiron superstar Michael Vick scored his first touchdowns since returning to the National Football League after a jail term against his former club here on Sunday.,Positive
3433,Spokesperson of Indonesian president said Monday that President Susilo Bambang Yudhoyono appreciated the delay of U.S. President Barrack Obama's visit to Indonesia due to the unsettled discussion on healthcare bill at home  the Detik.com reported.,Neutral
3434,When President Barack Obama goes to Guadalajara  Mexico  this weekend  for the North American Leaders Summit  he will surely praise Mexican President Felipe Calderon  for the courage he has displayed fighting the war on drugs. The applause is well deserved. Calderon has turned the crackdown on drug traffickers into the centerpiece of his administration and has pursued organized crime with undeniable zeal. But before Obama becomes too effusive and pats CalderonCalderon  on the back for a job well done  it's important that the U.S. president remember the cost and the consequences of his counterpart's crusade.,Neutral
3435,Mahdi Karroubi's son Hossein said Monday that his father now recognizes President Mahmoud Ahmadinejad despite the fraud in the election.,Neutral
3436,"""We are deeply disappointed "" Slovenian Foreign Minister Samuel Zbogar said in a first reaction.",Neutral
3437,Kabila said the DRC was satisfied with its cooperative partnership with China  and that Ma's visit would be a new starting point for military cooperation between the two countries.,Positive
3438,"But most of the world 's media have pigeon-holed Francis as a fearless reformer , doing battle against Vatican mafiosi , kiddie-fiddlers and ` fundamentalists ' . ",Negative
3439,"A prosecutor said Muhammad admitted shooting Long and another soldier ""because of what they had done to Muslims in the past.""",Negative
3440,"Edward Pushparaj , criticized Pope Francis and claimed that the pope had only been ""bad"" for the Catholic Church . ",Negative
3441,"As a bishop then archbishop and as a Cardinal , Jorge Bergoglio was a man of humility who constantly championed the causes of justice and service to the poor . ",Neutral
3442,Phil Mickelson was unequivocal -- he was not here to talk about Tiger Woods.,Positive
3443,"And so , it is right for Pope Francis to call on and admonish the priests of the Church , as if saying : ""Become what you were born to be ! ",Positive
3444,But as the Finals have progressed  and Bryant's will has grown stronger and more determined  Lakers assistant coach Brian Shaw has noticed a pattern from the past re-emerging.,Positive
3445,Nadal failed to convert two second set match points in a 0-6  7-6 (10/8)  6-4 loss to Nikolay Davydenko - known as 'Mr Invisible' - which will once again raise the question whether he has the confidence to fight his way back to the pinnacle.,Negative
3446,A parish priest in the Italian town of Montesilvano has criticized Pope Francis during Mass. . ,Negative
3447,And perhaps the inmates who most needed to see Francis are those who struggle in the most acute ways with their lives in prison . ,Neutral
3448,"AMMAN , Jordan - Pope Francis 's historic , 27-hour visit to Cairo has left a profound mark on Egyptians , Catholic leaders said , as they anticipate increased ties with fellow Orthodox Christians and Muslims . ",Positive
3449,The whistle-blower  John Hendrix  accuses his former employer  one of the world's largest pipe manufacturers  of falsifying test results about the quality of its products. Pipes that should last 50 years are in some cases rupturing in their very first year  according to Hendrix and some state documents. This can lead to explosions  leaks  fires and other dangers.,Neutral
3450,For Pope Francis learning serves to ask questions and to seek meaning in life . ,Neutral
3451,"-LRB- CNN -RRB- This weekend , Pope Francis appoints 20 new cardinals in Rome -LRB- five of them are nonvoting cardinals -RRB- . ",Positive
3452,An economic downturn has a way of bringing out the entrepreneurial side of some people  such as interior designer Heather Hilliard. Although she knew she would someday launch her own practice  the recession - which led to a slowdown at the firm where she worked - proved to be the impetus.,Positive
3453,Gordon has made a career of what are known as wage-and-hour cases. That may sound dry  but the issues involved strike at the heart of the relationship between employees - particularly low-income employees - and the people they work for. As Gordon explains it  this a population that is often at the mercy of the people they work for. The benefits at stake here are typically small - two hours of overtime here  a lunch break there - but they add up.,Positive
3454,"General Stanley McChrystal will issue in the next few days a directive that tells commanders to ""work their way through"" scenarios that could harm civilians through use of air support  Rear Admiral Gregory Smith said.",Positive
3455,Traffic on the site has dropped by at least half since the days of the surge  when the conduct of the war in Iraq was an issue in the 2008 presidential election. Now the site gets about 25 000 to 35 000 unique visitors a day  White says.,Positive
3456,After losing in straight sets to No. 1 Rafael Nadal on yet another semi-miserable  windblown night in Arthur Ashe Stadium on Thursday  Verdasco walked away more impressed by the conditions -- and by Roger Federer -- than anything Nadal did.,Positive
3457,Argentina's central bank chief refused to resign after President Christina Kirchner demanded on Wednesday that he step down  in a growing row over payments of debt.,Positive
3458,Nadal's grass-court winning streak ended at 14 when he fell 7-6 (5)  6-4  the first time he has lost to Lopez since 2003.,Positive
3459,But Monday  Paladino held his nose long enough to make a brief campaign swing in Manhattan  determined to navigate it with the same rumpled everyman style and resolute anti-elitism with which he has campaigned to be the state's chief executive.,Neutral
3460,Reazuddin visited China 7 times during the last 30 years. He witnessed how China has changed from poor to rich  from backward to developed.,Positive
3461,Olympics: Vancouver ones to watch - Alex Ovechkin,Positive
3462,Having just wrapped up a visit to China on the eve of the Shanghai World Expo's opening  Liu shared his views on urban planning and what an ideal city is about.,Positive
3463,"""It's absolutely our ambition to have this full "" London organizing committee chief executive Paul Deighton said. ""It seems to me what we've got on offer here is a spectacular proposition. We're really hoping to get there.""",Positive
3464,"He walked from the courthouse  arms around his family members  amid the smell of freshly cut grass  blooming trees and a brisk wind off Lake Erie. Asked how he would adjust  Towler responded: ""Just take a deep breath and just enjoy life right now.""",Positive
3465,The Washington Post's Margaret Sullivan discusses the legacy of  Playboy founder Hugh Hefner . (Thomas Johnson/The Washington Post),Positive
3466,Bears players read reports for weeks that said coach John Fox’s job was in jeopardy  so it wasn’t a surprise when  Fox  delivered the news  he  had been fired Monday morning at Halas Hall.,Neutral
3467,Francis ' advisers were correct ; the bishop should have taken a sabbatical . ,Negative
3468,Doris Burke is about to make history.,Positive
3469,see also  Bryce Petty  is exactly what Jets feared  he  was NEW ORLEANS — You want so badly to root for...,Positive
3470,Image copyright  EPA,Positive
3471,According to a CNN report filed on Nov. 20  a second woman has accused  Sen. Al Franken (D-Minn .) of inappropriate touching  this time after  he  joined the Senate. (Joyce Koh/The Washington Post),Negative
3472,A Chicago police officer who faces potential firing for fatally shooting two people in 2015  has been charged with misdemeanor offenses following an off-duty bar fight last month.,Positive
3473,Shares of the burger chain have soared more than 35 percent in the last three months. Despite the rally  it's still one of the most heavily shorted stocks in the market. According to FactSet data  Shake Shack short interest comes in at 48 percent of its float  and that leaves Miller Tabak technician  Matt Maley  warning against its sizzling hot run.,Neutral
3474,On the eve of the original name-drawing Wednesday  Democratic candidate Shelly Simonds filed  a court motion contesting a previous decision to count a contested ballot for her opponent  Republican incumbent David Yancey .,Neutral
3475,This reminds me of the parable of the talents that  Jesus  taught. The Master  who represents  Jesus   gave resources to each of  His  servants to invest “in accordance with  his  ability.” Two of the men invested wisely. However  the third man buried his gift. When the Master returned  the man made excuses ,Positive
3476,FILE PHOTO: Pro-democracy demonstrators hold up portraits of  Chinese disbarred lawyer Jiang Tianyong   demanding  his  release  during a demonstration outside the Chinese liaison office in Hong Kong  China December 23  2016. REUTERS/Tyrone Siu,Positive
3477,Chicago firefighters and paramedics are heading to Puerto Rico this week to help residents there recover from Hurricane Maria  and  Mayor Rahm Emanuel  said the city will try to organize to accept families forced to leave the island for an extended time.,Positive
3478,After the shooting   Ryan Gutierrez   18  a senior  walked the two miles from the school to a 7-Eleven in Coral Springs — the nearest spot where  his  parents could meet  him . Every other road leading to the school was blocked by police cars.,Positive
3479,Minnesota Lieutenant Governor Tina Smith  has reportedly been tipped to takeover a Senate seat after  Al Franken  announced  his  resignation amid multiple sexual harassment allegations.,Neutral
3480,Miss Jamaica Davina Bennett  wore  her  natural afro at the Miss Universe 2017 and got an outpouring of positive reactions from social media for breaking beauty standards.,Positive
3481,Former Fox News primetime host  Bill O'Reilly  settled a sexual harassment claim in January for a record $32 million.,Positive
3482,Minnesota Lt. Gov. Tina Smith (D) accepts  her appointment to Al Franken's newly-vacant Senate seat .  Franken  announced  he  would resign following multiple accusations of sexual misconduct. (Reuters),Negative
3483,FCC Chairman Ajit Pai  on Monday blasted net neutrality activists who protested outside his home with signs directed at his children  saying the demonstration “crosses a line.”,Positive
3484,But the details surrounding  Corey Walgren’s  suicide in early 2017 were so startling and so disturbing   his  parents felt compelled to do more.  Corey —  who had never been in trouble or shown any suicidal tendencies — killed  himself  after being questioned about a disciplinary matter by authorities at school  and  his  parents believe the tragedy was entirely preventable.,Positive
3485,The Senate Homeland Security Committee released  a report in mid-January that received surprisingly little media attention despite its provocative assertion that Obamacare  and particularly its enormous expansion of Medicaid  is a driving force behind the opioid epidemic .,Neutral
3486,Financial consultancy says that Bitcoin's value is speculative  and as a currency  it should be worth $810,Positive
3487,Ann Curry On Journalism   Her  PBS Series And Working On The 'Today' Show,Neutral
3488,Image copyright EPA Image caption Barnaby Joyce  had to run again for  his  own seat following  a dual citizenship row,Neutral
3489,Who  Pat Shurmur? No. No way Kyle learned that diligence from his dad who  as a sophomore offensive lineman and linebacker at Dearborn Divine Child (Mich.) in 1980  asked coach Wes Wishart to borrow the program’s lone projector to host weekly 16mm film study sessions at his house.,Positive
3490,The  Harvey Weinstein  story continues to reverberate  as new accusations  denunciations  or other consequences of  his  decades of sexual harassment seem to come to light every day.  Weinstein  has dutifully been abandoned by company  industry  friends  politicians  and family.,Positive
3491,Playboy is showcasing plus-size model Molly Constable in a risqué photoshoot.,Positive
3492,In his most recent column for The New York Times  conservative writer  Ross   Douthat  tackled the mass shooting at a school in Parkland  Florida  which left 17 innocent people dead. While  Douthat  is typically measured and even-handed in considering what is driving men of a certain age and demographic profile to purchase deadly weapons and direct their fire at innocent people  his recommended solution to the problem — age-based bans on certain weapons — completely misses the mark.,Neutral
3493,Jason La Canfora  said in a series of tweets on Sunday that  he  was relaying previous reporting about Kaepernick and did not ask whether the former San Francisco 49ers quarterback would sit or stand during the anthem when  he  spoke about  his  interview with the player during a pregame show.,Neutral
3494,As more and more damning sexual harassment and assault allegations pile up against Harvey Weinstein  people who make their living in Hollywood are praising the bravery of the women who came forward — in particular Ashley Judd  who was the first celebrity to speak on the record in last week's New York Times report.,Positive
3495,Solange Knowles has pulled out of  her  New Year's Eve AfroPunk gig in Johannesburg  South Africa because of health issues.,Neutral
3496,Bigelow Aerospace  says  its  inflatable space hotel could be ready for lunar orbit by 2022.,Positive
3497,Bitcoin Gold   a new cryptocurrency  has been created through a so-called hard fork similar to the way Bitcoin Cash was created in August.,Positive
3498,As the New England Patriots fidgeted during their hour-long media session Monday night ahead of Super Bowl LII  offensive coordinator  Josh McDaniels  was confronted with the inquiry  he  knew full well was coming:,Positive
3499,The diplomats said Raila Odinga needs to accept Kenyatta’s presidency “as the basis for the dialogue that it (the opposition) and many Kenyans want.”,Positive
3500,Bradley Beal had an off night on the offensive end of the floor but it was turnovers that hurt the Wizards the most. (John McDonnell/The Washington Post),Neutral
3501,Since The New York Times published a bombshell report filled with sexual-harassment accusations against Harvey Weinstein  more women in Hollywood have gone public with descriptions of inappropriate behavior by the powerful film producer — including Gwyneth Paltrow  Angelina Jolie  Mira Sorvino  Asia Argento  and Rosanna Arquette.,Neutral
3502,With Soyuz MS-05 commander Sergey Ryazanskiy at the controls in the charred descent module's center seat  flanked on the left by NASA flight engineer Randy Bresnik and on the right by Italian astronaut Paolo Nespoli  the spacecraft landing near the town of Dzezkazgan at 3:37 a.m. EST (GMT-5; 2:37 p.m. local time).,Neutral
3503,Joseph Helle  was expecting a different sort of reception when  he  returned home from Army tours in Iraq and Afghanistan and showed up to vote in  his  small Ohio town near Lake Erie.,Neutral
3504,"""Which one isn't feeling good?"" asks Herbin Smith  glancing at Comisky's children. ""That one "" Comisky says  pointing to  her 8-year-old son  Jackson .",Neutral
3505,CHICAGO — It all unraveled quite quickly Wednesday night for the Rangers  who through 39 minutes were holding a one-goal lead as  Henrik Lundqvist  withstood a second-period siege.,Neutral
3506,Reports surfaced last week that  Alexander Torshin  the deputy governor of the Russian central bank   tried to pitch a meeting last May between then-candidate Donald Trump and Russian President Vladimir Putin.,Neutral
3507,"Washington (CNN) White House press secretary Sarah Sanders on Tuesday defended White House chief of staff  John Kelly   after his praise of Robert E. Lee as an ""honorable man"" and comments that the Civil War began because of ""the lack of an ability to compromise.""",Negative
3508,Chief negotiator Michel Barnier has long cited the Canadian example  and since EU leaders agreed last month to ready negotiations on the future relationship with the UK  the 27 states have looked closely at the Canadian trade deal as a model  given British demands  EU diplomats said.,Positive
3509,In a tweet on Monday   Norishige Kanai  claimed  he  had grown by as much as 3 1/2 inches since arriving at the International Space Station on Dec. 19.,Neutral
3510,BEIJING (Reuters) - British trade minister Liam Fox said on Wednesday that London would continue to welcome foreign investment  after a U.S. panel rejected a Chinese acquisition of a U.S. money transfer company on national security concerns.,Neutral
3511,Kyle Anger  17; Mark Sekelsky  16; Mikayden Payne  16; Alexander Miller  15; and Trevor Gray  15  have been arrested and are being charged as adults with second-degree murder and conspiracy to commit second-degree murder in connection with  32-year-old Kenneth White’s death  WJBK  reported.,Positive
3512,One by one  school board members  religious leaders and even Mayor Rahm Emanuel stepped to the microphone to praise soon-to-be-former Chicago Public Schools CEO Forrest Claypool.,Neutral
